file,Roi group,Roi tags,Roi name,16O mean,16O stddev,16O median,12C21H mean,12C21H stddev,12C21H median,12C15N mean,12C15N stddev,12C15N median,31P mean,31P stddev,31P median,32S mean,32S stddev,32S median,31P/32S mean,31P/32S stddev,31P/32S median
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,1,962.827850877193,88.36312069879646,956.0,4729.326754385965,307.8411657068444,4718.0,9.204495614035087,3.6203673260488776,9.0,0.3248355263157895,0.6029972439893777,0.0,7.290296052631579,2.878185707982753,7.0,389.61988542791,1720.6102816369737,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,2,825.3778908418132,120.10374249076479,841.0,4183.677613320999,503.2483700248447,4229.0,6.960684551341351,2.7788833350721474,7.0,0.1244218316373728,0.3596559408436754,0.0,6.743755781683626,2.655792713850531,7.0,155.10330039279313,1145.16328945049,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,3,759.3081761006289,47.082253293333295,759.0,3857.461814914645,187.85969485884544,3866.0,6.2623539982030545,2.597278707402249,6.0,0.11859838274932614,0.3343965539373155,0.0,6.709793351302785,2.6234387704762177,7.0,116.80143799486186,950.9788357456389,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,4,2383.8695652173915,204.0719490436484,2440.0,4812.630434782609,365.96049323485136,4766.0,49.76086956521739,9.043560711255509,49.0,40.23913043478261,8.230525250172057,41.0,48.108695652173914,39.663152931695834,32.0,15412.518029254416,13507.471081649343,11269.841796875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,5,2467.9032258064517,176.78279607825903,2425.0,4771.225806451613,368.4819950081161,4675.0,51.96774193548387,7.377822040718801,53.0,39.45161290322581,7.697786303769067,41.0,47.58064516129032,30.82182580958758,37.0,14350.584173387097,9074.744918630553,13333.333984375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,6,2511.5,231.6452028426231,2554.0,5406.357142857143,793.6007140915344,5289.0,59.857142857142854,12.408788094653804,59.0,37.714285714285715,7.352954104707445,40.0,73.71428571428571,36.045758464716805,71.0,11179.814636230469,19043.818884493572,4751.552734375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,7,2312.65,207.96818456070073,2287.0,4613.35,407.92120949748954,4639.0,51.45,8.350701199678731,52.0,35.85,7.183863496534585,36.0,67.5,37.171721000046034,56.0,8267.506164550781,7013.397097413716,6055.5556640625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,8,2341.6,123.27915476673256,2338.0,4442.08,290.76306505469364,4457.0,44.72,8.979235305228762,44.0,35.0,4.654746681256314,35.0,41.04,25.03743863364089,31.0,16065.1970703125,21318.828495056154,10000.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,9,2406.4117647058824,138.4124537494411,2427.0,4559.35294117647,348.0885198438162,4601.0,54.294117647058826,8.75902895504371,53.0,37.411764705882355,7.632650453228974,38.0,44.11764705882353,19.416109139517296,34.0,11153.512422449448,6998.31678368527,8000.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,10,2108.285714285714,235.74841311388352,2116.0,4433.142857142857,274.9845969712278,4412.0,50.95238095238095,7.671220179842256,51.0,32.0,8.933084573650918,31.0,58.95238095238095,42.40103323089685,46.0,11177.72477794829,9315.526360518976,7500.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,11,2021.7222222222222,323.67282056305226,2037.0,4220.888888888889,225.11327577045424,4260.0,56.611111111111114,14.312227963564784,56.0,28.833333333333332,10.98260656942711,28.0,93.11111111111111,65.32352867606595,107.0,8063.383365207248,9018.483900251304,2496.29638671875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,12,2550.6923076923076,259.51312895991236,2598.0,5315.538461538462,412.71996466220196,5349.0,59.46153846153846,8.752289077867808,60.0,40.0,9.018499505645789,39.0,52.30769230769231,35.01043800398346,39.0,9621.451256385217,5719.443558813894,8750.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,13,2312.391304347826,389.1788253525194,2429.0,5067.04347826087,345.83028920672393,5078.0,61.65217391304348,10.447308029310161,61.0,35.30434782608695,13.926543598495304,35.0,79.78260869565217,56.39225972171836,54.0,8793.29289179263,9296.941801042058,6000.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,14,2664.9375,285.8613810340016,2659.0,4604.9375,193.49400292170986,4615.0,51.0,8.024961059095553,53.0,41.125,13.129483361249724,42.0,41.0625,22.95638981489322,35.0,15159.245918273926,12555.972952023325,15347.22265625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,15,2423.6666666666665,318.14265668092986,2472.0,4502.0,192.87690374951583,4516.0,55.0,9.16515138991168,54.0,33.888888888888886,9.867173410410457,38.0,66.0,32.42298567374695,58.0,5968.766710069444,3787.5456906603667,6250.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,16,2583.9285714285716,228.75027172265132,2688.0,4715.857142857143,319.4605686858003,4690.0,58.57142857142857,9.154354035222681,60.0,41.5,7.7036454906851635,44.0,60.92857142857143,46.00412069455432,48.0,12032.340275355748,13332.444107178062,9000.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,17,2105.0,258.3398278753523,2101.0,5089.225806451613,253.14484782135034,5083.0,75.19354838709677,18.74107672971986,72.0,27.93548387096774,9.681375535432169,28.0,105.35483870967742,48.385637253973606,87.0,4223.778785951676,3340.1325628560476,3181.818115234375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,18,2423.6363636363635,302.59898741758406,2546.0,4960.681818181818,148.04130259061918,4926.0,66.72727272727273,13.85359440441642,64.0,40.45454545454545,9.883739762271754,39.0,94.9090909090909,35.53925943289985,98.0,5621.316250887784,3574.904717668926,4819.3544921875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,19,2482.222222222222,159.54809547983277,2507.0,4944.222222222223,136.7640972647924,4905.0,66.11111111111111,12.121390373020885,65.0,37.77777777777778,8.264420947336312,40.0,91.05555555555556,34.382745710812266,80.0,5371.31877983941,2877.1971746231798,4965.03515625
