file,Roi group,Roi tags,Roi name,12C14N mean,12C14N stddev,12C14N median,area,12C22H mean,12C22H stddev,12C22H median,12C15N/12C14N mean,12C15N/12C14N stddev,12C15N/12C14N median,12C22H/12C21H mean,12C22H/12C21H stddev,12C22H/12C21H median
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,1,536.5375548245614,111.68373475819602,511.0,3648.0,0.7510964912280702,0.8737081597767086,1.0,38.41445328870363,26.999354044320807,36.69724655151367,2.0281111460113737,2.3633998790323045,2.4563987255096436
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,2,412.9426456984274,64.93720630455798,399.0,2162.0,0.6456984273820536,0.7870436824953148,0.0,37.38890033204946,30.222447165509156,28.24858856201172,1.9635508198301401,2.4041104181475967,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,3,373.162623539982,23.3036640899521,373.0,1113.0,0.5822102425876011,0.7398763767553378,0.0,36.48973660499045,29.868101105494016,27.624309539794922,1.9261903600015837,2.4390137473816904,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,4,2727.5434782608695,178.77331475260186,2680.5,46.0,3.739130434782609,2.059501370167014,4.0,41.29068076092264,10.894446488032969,39.880760192871094,10.12637512061907,5.865223338385598,8.861404418945312
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,5,2833.064516129032,105.25680832575502,2839.0,31.0,5.096774193548387,2.1502688004011254,5.0,42.418971030942856,10.287272431947638,42.194091796875,13.752472800593223,5.880401866419124,13.085578918457031
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,6,3109.5714285714284,441.56447639409,3003.0,14.0,5.071428571428571,2.3026501693044477,5.5,46.91292245047433,9.763971644232742,43.9899787902832,11.926246132169451,4.897346429093559,12.858495712280273
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,7,2584.25,154.6476045043937,2598.0,20.0,4.3,2.38636477557503,3.5,42.63388414382935,11.395082695003865,41.882911682128906,11.838255286216736,6.256645276248888,9.08061408996582
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,8,2486.16,238.89915585172474,2393.0,25.0,3.56,2.2188585654190156,3.0,41.49838481903076,17.68207519862011,37.96867370605469,10.28414779663086,6.623958493847423,9.03342342376709
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,9,2628.4117647058824,136.90373388969775,2610.0,17.0,3.588235294117647,1.8727928185403933,3.0,45.79195561128504,13.101571023064158,42.145591735839844,10.27983009113985,5.891172444388744,9.520787239074707
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,10,2567.6190476190477,200.8171995100211,2561.0,21.0,4.476190476190476,1.8335497707738293,4.0,49.42804781595866,13.105491993996091,50.0,13.040293602716355,5.525994509407576,12.376237869262695
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,11,2513.0555555555557,219.0061702655409,2555.0,18.0,4.166666666666667,2.3326329481056884,4.5,47.50020604663425,16.627306579105266,45.365203857421875,12.555407418145073,6.751889028894954,13.384592056274414
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,12,2921.230769230769,170.1034752957514,2932.0,13.0,4.923076923076923,2.6913917855989946,5.0,48.588806299062874,16.944365801149026,44.31782150268555,11.690383874453032,5.83058013348833,12.550200462341309
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,13,2946.391304347826,181.19922213620785,2924.0,23.0,5.0,2.04494943258218,5.0,48.82008710114852,14.249116556736585,46.14838409423828,12.585361895353898,4.803802604041126,11.592859268188477
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,14,2863.125,178.19797043363505,2831.5,16.0,3.6875,2.868652413009751,3.0,38.43659222126007,12.000703766903621,36.32227325439453,10.229007303714752,8.005491046144535,8.209138870239258
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,15,2961.5555555555557,110.86941768485022,2945.0,9.0,4.0,2.3979157616563596,4.0,40.23513264126248,17.4965214230097,34.340660095214844,11.507413970099556,6.913502554112523,11.827320098876953
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,16,2963.5714285714284,172.18447812010962,2936.0,14.0,3.5714285714285716,1.4525460784051258,4.0,40.862958908081055,11.933817792515807,39.07605743408203,9.818647418703351,4.216217112804751,10.775964736938477
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,17,2873.6129032258063,131.78433832575473,2855.0,31.0,4.774193548387097,2.917872254678682,4.0,58.53557906612273,19.48502586313448,60.822898864746094,11.960486765830748,7.075188193173525,10.822510719299316
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,18,2935.5,107.1050885812621,2930.5,22.0,5.0,1.7182493859684491,5.0,50.41886208274148,12.39941453257906,49.22248458862305,13.013140331615102,4.426901848236235,12.85255241394043
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,19,2898.0555555555557,136.53720554021905,2881.0,18.0,5.277777777777778,2.136670184451541,6.0,48.604348288642036,13.449721315541256,49.71969985961914,13.743532021840414,5.568966036281623,14.870122909545898
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,20,2707.2580645161293,198.06917440495977,2692.0,31.0,3.967741935483871,2.008048322256247,4.0,53.63275398746614,16.38789990399794,52.14152908325195,10.152098817210044,5.001434579610742,10.452052116394043
