date,excitation,row,1,2,3,4,5,6,7,8,9,10,11,12
2024-04-26,440,7,2220888,2189137,10572805,11703878,12317916,13161920,10609146,10248363,12515160,12769559,10041479,16852328
2024-04-26,440,8,2017591,1927976,10185758,10276303,11686773,12570078,12016058,9692665,13158770,12497882,12284415,16720109
2024-04-26,490,1,509572,540686,11268338,34136828,17059480,41758140,18971610,49006496,15565741,78492688,10105788,37371280
2024-04-26,490,2,1084548,1044216,45899864,45369200,43436412,60125556,37901460,43194324,57105108,67975400,7864162,36083380
2024-04-26,490,3,1017745,1021819,46540044,53112360,60355456,51538228,42101600,42626216,56233224,57831156,9511305,38075064
2024-04-26,490,4,1030668,989314,49500284,49059560,57561428,57142096,44603320,40011940,51049916,55388680,9525967,37119772
2024-04-26,490,5,997833,1009910,40043476,51229152,55193728,51229944,47307112,42806452,51456156,55336448,19092622,70382744
2024-04-26,490,6,1029283,954593,46564208,51161356,50891920,54146856,46879712,38619340,54646252,53155004,18719206,71048936
2024-04-26,490,7,945797,924391,46657008,51624924,53670392,55061032,46234032,43945608,57934636,55753064,17232706,75441608
2024-04-26,490,8,874883,823828,47247620,46336608,51643716,56294220,51324780,40776592,59281792,55425100,20788908,75423008
