time,3300,1100,370,120,41,14,4.6,1.5,0.51,0.17,0.056,0
0.16,6.9973,6.8127,7.031,6.7483,7.051,7.4691,7.4317,7.2374,7.6494,7.4891,7.5732,7.4131
0.24,6.9993,6.8141,7.0286,6.7503,7.0533,7.4669,7.4302,7.2395,7.6468,7.4868,7.5713,7.4153
0.32,7.0315,6.7935,7.0121,6.7741,7.079,7.4637,7.4733,7.2625,7.6087,7.4725,7.5925,7.4359
0.4,7.0619,6.7713,6.9976,6.7961,7.1027,7.4624,7.5181,7.2836,7.573,7.4603,7.616,7.4545
0.48,7.1627,6.8908,6.7228,6.8487,7.1905,7.2687,7.444,7.4969,7.5033,7.4603,7.5428,7.5859
0.56,7.1378,6.9951,6.7869,6.7836,7.1311,7.2425,7.4323,7.4655,7.4933,7.5609,7.4963,7.4776
0.64,7.1496,7.0459,6.8659,6.7635,7.0775,7.2115,7.4147,7.4787,7.5329,7.6599,7.4728,7.4156
0.72,7.1215,6.9832,6.9102,6.8688,7.0478,7.264,7.3818,7.5586,7.6276,7.6407,7.4622,7.4597
0.8,7.0846,6.9744,6.9201,6.9336,7.0268,7.3146,7.3612,7.6249,7.6143,7.6193,7.4671,7.475
0.88,7.0712,6.9949,6.8087,6.9141,7.0521,7.3098,7.3323,7.5532,7.5291,7.5254,7.4848,7.4842
0.96,7.0341,6.9322,6.721,6.9178,7.036,7.3155,7.3448,7.4325,7.5644,7.3979,7.5166,7.4671
1.04,6.9728,7.0122,6.7969,6.9108,6.9281,7.2212,7.425,7.4112,7.5175,7.512,7.5789,7.2482
1.12,6.9598,7.1687,6.8678,6.852,6.8633,7.1529,7.4387,7.4715,7.3825,7.6886,7.6138,7.0938
1.2,6.9988,7.0667,6.9485,6.9077,6.9482,7.0967,7.3785,7.3961,7.4175,7.6169,7.5632,7.3069
1.28,7.0287,6.9472,7.0368,7.0404,7.0356,7.0353,7.351,7.2967,7.4672,7.5189,7.5011,7.5062
1.36,7.0782,7.0352,6.9176,7.0365,7.0464,7.1519,7.3659,7.3494,7.4546,7.546,7.4314,7.5163
1.44,7.1293,7.1125,6.8061,6.9979,7.0641,7.258,7.4079,7.3793,7.4561,7.588,7.3872,7.4919
1.52,7.1321,7.0395,6.8726,6.9451,7.012,7.2963,7.3715,7.4503,7.4352,7.5361,7.5227,7.4917
1.6,7.0937,6.9848,6.9367,6.8773,6.9463,7.3654,7.3149,7.5388,7.4509,7.4946,7.6378,7.5393
1.68,7.091,6.9376,6.9126,6.9083,6.9415,7.3004,7.3569,7.4913,7.5982,7.5003,7.6078,7.4465
1.76,7.0897,6.8729,6.8429,6.9497,6.9697,7.1731,7.3512,7.4595,7.7383,7.484,7.5841,7.3493
1.84,7.0831,6.8955,6.7718,6.9992,7.0609,7.1582,7.3489,7.4649,7.7206,7.5517,7.6291,7.4694
1.92,7.1204,6.9321,6.7549,7.0645,7.109,7.2116,7.4259,7.4622,7.6683,7.6179,7.7099,7.5693
2,7.2019,6.9287,6.7691,7.0472,7.1283,7.2691,7.4759,7.4556,7.6514,7.6025,7.5516,7.5779
2.08,7.2505,6.9496,6.7856,7.012,7.1533,7.2951,7.4639,7.4477,7.6156,7.5707,7.3902,7.6057
2.16,7.1599,6.9656,6.7749,6.9202,7.1229,7.2587,7.3947,7.4033,7.5522,7.541,7.4726,7.5691
2.24,7.0871,6.92,6.774,6.8616,7.0814,7.2027,7.3369,7.3497,7.536,7.5623,7.5281,7.5402
2.32,7.0922,6.8872,6.8392,6.8325,7.017,7.1938,7.3336,7.4141,7.5884,7.5878,7.5606,7.5035
