experiment,batch,trial,condition,treatment,replicate,d0,d1,d2
dual,2,4,tgfb,DMSO,c,184.030257,101.856626,66.060068
dual,2,4,control,AZD3965,a,184.030257,145.422451,95.024441
dual,2,4,control,AZD3965,b,184.030257,148.284812,108.893265
dual,2,4,control,AZD3965,c,184.030257,153.788043,104.241927
dual,2,4,tgfb,AZD3965,a,184.030257,113.851284,69.859512
dual,2,4,tgfb,AZD3965,b,184.030257,116.441040,73.778222
dual,2,4,tgfb,AZD3965,c,184.030257,108.893265,69.859512
dual,2,4,control,VB124,a,184.030257,145.422451,104.241927
dual,2,4,control,VB124,b,184.030257,145.422451,92.741367
dual,2,4,control,VB124,c,184.030257,139.834031,101.856626
dual,2,4,tgfb,VB124,a,184.030257,113.851284,71.733678
dual,2,4,tgfb,VB124,b,184.030257,113.851284,79.826664
dual,2,4,tgfb,VB124,c,184.030257,118.860417,88.362636
dual,2,4,control,AZD/VB,a,184.030257,153.788043,90.458293
dual,2,4,control,AZD/VB,b,184.030257,139.834031,88.362636
dual,2,4,control,AZD/VB,c,184.030257,151.096060,86.181789
dual,2,4,tgfb,AZD/VB,a,184.030257,104.241927,71.733678
dual,2,4,tgfb,AZD/VB,b,184.030257,99.539476,62.277662
dual,2,4,tgfb,AZD/VB,c,184.030257,99.539476,67.968309
